datetime,azimuth,elevation,tracker_theta
2025-01-01 00:00:00+01:00,350.14578997670424,-61.32624791392568,0.0
2025-01-01 01:00:00+01:00,18.75463793934324,-60.58866942586009,0.0
2025-01-01 02:00:00+01:00,43.42880313431249,-55.72444130123231,0.0
2025-01-01 03:00:00+01:00,62.396188020252794,-48.25160379402999,0.0
2025-01-01 04:00:00+01:00,77.24195878947177,-39.47858497237248,0.0
2025-01-01 05:00:00+01:00,89.72372068386721,-30.19772911774724,0.0
2025-01-01 06:00:00+01:00,101.04661723957486,-20.89789484329483,0.0
2025-01-01 07:00:00+01:00,112.00517691058906,-11.940880669692973,0.0
2025-01-01 08:00:00+01:00,123.15507355798138,-3.656848481340958,0.0
2025-01-01 09:00:00+01:00,134.89624420410536,3.809349398057902,-84.63033434723755
2025-01-01 10:00:00+01:00,147.47634870637563,9.566029449130296,-72.59621921575496
2025-01-01 11:00:00+01:00,160.936851877859,13.613739962708042,-53.443295580133935
2025-01-01 12:00:00+01:00,175.0534194709469,15.555842440138719,-17.21044799805418
2025-01-01 13:00:00+01:00,189.36116802973243,15.200275647902625,30.90755946746963
2025-01-01 14:00:00+01:00,203.31790026687523,12.58313207038341,60.58052623295383
2025-01-01 15:00:00+01:00,216.52136227000125,7.959144547185386,76.77909983338375
2025-01-01 16:00:00+01:00,228.83201995320934,1.8290870264608896,87.57086376561337
2025-01-01 17:00:00+01:00,240.36241916723276,-6.101176614896327,0.0
2025-01-01 18:00:00+01:00,251.41101681436382,-14.625055064329127,0.0
2025-01-01 19:00:00+01:00,262.4224035318491,-23.71936727565253,0.0
2025-01-01 20:00:00+01:00,274.0133298517404,-33.050364650424136,0.0
2025-01-01 21:00:00+01:00,287.0830464880766,-42.2292355442431,0.0
2025-01-01 22:00:00+01:00,303.0015432684203,-50.69552231083151,0.0
2025-01-01 23:00:00+01:00,323.6295851210787,-57.51403091194984,0.0
2025-01-02 00:00:00+01:00,349.9427944691513,-61.22797960069729,0.0
2025-01-02 01:00:00+01:00,18.501371909196905,-60.5276821693106,0.0
2025-01-02 02:00:00+01:00,43.18699865613701,-55.69790429376732,0.0
2025-01-02 03:00:00+01:00,62.18765374392217,-48.24681370704004,0.0
2025-01-02 04:00:00+01:00,77.06189029041451,-39.4843900980245,0.0
2025-01-02 05:00:00+01:00,89.5628986419739,-30.20642906891393,0.0
2025-01-02 06:00:00+01:00,100.8975158311597,-20.903998528892927,0.0
2025-01-02 07:00:00+01:00,111.86250795494459,-11.94000141960202,0.0
2025-01-02 08:00:00+01:00,123.01553975458842,-3.6450927276191476,0.0
2025-01-02 09:00:00+01:00,134.7585435490804,3.834625097688518,-84.60763127230321
2025-01-02 10:00:00+01:00,147.3414668455826,9.60946659197695,-72.58094203013458
2025-01-02 11:00:00+01:00,160.80822637074982,13.676932058853058,-53.48884655175521
2025-01-02 12:00:00+01:00,174.93624194092547,15.63898227523772,-17.49999106515088
2025-01-02 13:00:00+01:00,189.26048145907026,15.301432521376935,30.463109297786517
2025-01-02 14:00:00+01:00,203.23647148830202,12.698613042340527,60.267124221184254
2025-01-02 15:00:00+01:00,216.45890065171207,8.084176146989087,76.55713018270392
2025-01-02 16:00:00+01:00,228.785971687915,1.9521590646049034,87.40568875479262
2025-01-02 17:00:00+01:00,240.32921643928285,-5.963888681834879,0.0
2025-01-02 18:00:00+01:00,251.38682244200152,-14.485642819531469,0.0
2025-01-02 19:00:00+01:00,262.403072398591,-23.578951134170495,0.0
2025-01-02 20:00:00+01:00,273.9934889540612,-32.90965402985323,0.0
2025-01-02 21:00:00+01:00,287.0538094331243,-42.08904572302812,0.0
2025-01-02 22:00:00+01:00,302.9458610782434,-50.557965854955626,0.0
2025-01-02 23:00:00+01:00,323.51707607611877,-57.38537673606862,0.0
2025-01-03 00:00:00+01:00,349.7454771711059,-61.122088574552535,0.0
2025-01-03 01:00:00+01:00,18.248281791976638,-60.45860290802484,0.0
2025-01-03 02:00:00+01:00,42.94133242058524,-55.66364580974259,0.0
2025-01-03 03:00:00+01:00,61.97391839905623,-48.23487092839541,0.0
2025-01-03 04:00:00+01:00,76.87659414191523,-39.483437519851876,0.0
2025-01-03 05:00:00+01:00,89.39723573454324,-30.208547261330818,0.0
2025-01-03 06:00:00+01:00,100.74406551684262,-20.90351959314764,0.0
2025-01-03 07:00:00+01:00,111.71602198081689,-11.932410104254082,0.0
2025-01-03 08:00:00+01:00,122.87278368286712,-3.626411279490046,0.0
2025-01-03 09:00:00+01:00,134.61833510555448,3.866826471726766,-84.57555038084615
2025-01-03 10:00:00+01:00,147.20497320490335,9.660244985118364,-72.55369103754863
2025-01-03 11:00:00+01:00,160.6790972114635,13.747628270569665,-53.5188020408193
2025-01-03 12:00:00+01:00,174.81983640116187,15.729603501422337,-17.774454379686503
2025-01-03 13:00:00+01:00,189.16187675659208,15.409838706734297,30.013859140482513
2025-01-03 14:00:00+01:00,203.15830537998778,12.82092437424339,59.94296604136969
2025-01-03 15:00:00+01:00,216.40065391065002,8.215503893894269,76.32586192367918
2025-01-03 16:00:00+01:00,228.74486540432406,2.0811388397755537,87.23265674376849
2025-01-03 17:00:00+01:00,240.30153173507648,-5.821312003743091,0.0
2025-01-03 18:00:00+01:00,251.36866662880237,-14.341328520296512,0.0
2025-01-03 19:00:00+01:00,262.3903332469512,-23.43386893799398,0.0
2025-01-03 20:00:00+01:00,273.9808937611752,-32.7643166344439,0.0
2025-01-03 21:00:00+01:00,287.0325875166677,-41.94400721864058,0.0
